ucid,BVALL,BVNR,pop100m,buildup100,Worldpop,gdp_new2
7420,2011284,0,37729.68586,0.313763,5137.593018,241547952
7421,10090953,424,93257.82312,1.585603,34539.7392,294931515.8
7422,6141027,0,115199.5532,0.912451,21918.51331,76725506.53
7423,2005043,0,33103.06021,0.362069,5564.472168,0
7424,8473832,317058,47848.12549,1.49784,39555.1377,100406641
7425,1939632,0,23204.14608,0.473041,22874.27393,45889540
7426,5183749,513,99730.12022,0.855789,17729.70435,125997406
7427,3935351,2060628,35969.55372,0.932262,57621.64758,287868606
7428,6133640,0,97120.9724,0.951754,31415.35339,234778623.7
7429,8078246,719675,133603.1823,1.513383,69835.95905,257658847.1
7430,23947229,0,413984.7057,3.302205,147393.8365,1320909071
7431,1843913,0,30712.64021,0.328836,5456.887878,57017876
7432,5037571,0,66860.03576,0.851967,15798.46167,68038661.91
7433,4327947,2172118,40799.12356,0.628145,35885.60571,102079942.4
7434,10243399,94631,122697.6642,1.420915,29816.3194,635355020.9
7435,4152474,0,34611.04884,0.755475,8293.608521,143354298.3
7436,146354802,913792,1381417.386,20.778896,1025143.942,5246248010
7437,2124776,0,14904.78892,0.853646,30090.30297,146917925.8
7438,1189440,0,22510.18511,0.255614,3746.933594,937643.4531
7439,49421278,1024613,916263.1834,6.589383,268892.4386,3101982977
7440,11646871,512072,70230.31603,1.62088,15589.84595,245835900.1
7441,17941589,0,147143.1403,2.847392,36799.83936,1210350794
7442,5527396,2733180,31369.20164,0.818535,17819.48566,51501204.74
7443,1875000,0,34040.07981,0.348608,11404.1203,231353537.5
7444,1642058,0,19974.66256,0.373045,18161.0741,54162830.44
7445,6990242,90078,98362.58254,1.405088,25518.97339,831169366.5
7446,1966642,0,35706.61066,0.376224,8140.528015,39927220.03
7447,6949607,6085,83432.46203,0.949526,13195.20886,311394535.2
7448,896746,0,16970.9429,0.272891,11731.9436,258899.1211
7449,5716133,0,62288.04688,0.839567,12326.46246,105000691.8
7450,10389281,0,96018.92319,1.692952,30579.80786,272779775.9
7451,4338939,31913,55816.08982,0.706453,13134.55359,303056909.9
7452,3858620,0,58098.65454,0.70916,17657.05756,144086422
7453,5562439,0,63015.01026,0.87524,12004.18634,36367468.38
7454,731378,0,14344.87879,0.245528,5631.142792,12048647.44
7455,1557922,0,45200.99662,0.33104,9452.365295,137782821.3
7456,3056716,0,77705.2341,0.494522,10706.55615,0
7457,3074648,0,47947.37257,0.488255,10961.1615,20385680.75
7458,13581481,29408,180689.2788,2.044565,46643.81665,375452012.9
7459,375704387,10340740,2112703.566,44.703905,1563902.651,7330371272
7460,25691710,153542,155828.9043,6.192771,105820.1714,673873548.1
7461,3395321,0,68513.57587,0.634816,24580.2829,199765772.5
7462,5590376,198750,63792.4151,1.054914,21902.89502,324959969.5
7463,7411928,0,62244.47864,1.227991,22176.75122,184851641.5
7464,371208,180920,140567.3053,0.111947,147170.5654,0
7465,20189451,236417,86479.67132,2.387554,64318.43445,753361804.5
