GHUB_ID,precip2015,temp2015,GDP,elevation,biom,soil,climate,capital,riverba,costal,UE_Area,CONTINENT,Country,countr_iso,ucid,pop100,BU100,Vol_tot,Vol_non,gdp2
92,360.7572097,20.99524307,940582053.6,637,Deserts and Xeric Shrublands,0,0,0,LAKE EYRE,0,20.14725937,Oceania,Australia,AUS,0,19471.91886,3934548,23543434,6414587,556947842.3
93,1056.565796,17.99583244,2453540528,24,Temperate Broadleaf and Mixed Forests,Planosols,"Mild temperate, fully humid, and  Hot summer",0,0,1,41.10764596,Oceania,Australia,AUS,13047,62906.45689,7756515,50014049,1836181,1720212847
94,248.7428513,18.90119934,157919755.1,346,"Mediterranean Forests, Woodlands and Scrub",Arenosols,"Mild temperate with dry summer, and  Hot summer",0,0,0,16.2592171,Oceania,Australia,AUS,0,2625.330476,1211296,5061014,16707,155988745.6
95,479.6999816,14.20138359,1055531207,39,Temperate Broadleaf and Mixed Forests,Planosols,"Mild temperate, fully humid, and  Warm summer",0,0,1,24.47232893,Oceania,Australia,AUS,0,28827.19891,5255194,37716021,4257151,788334872.6
96,1419.501984,18.8847332,941337878.7,77,Temperate Broadleaf and Mixed Forests,Acrisols,"Mild temperate, fully humid, and  Hot summer",0,0,1,21.91987326,Oceania,Australia,AUS,0,24382.76116,4406827,40592254,7367647,765728108.8
97,547.3374024,14.53957462,722323742,41,Temperate Broadleaf and Mixed Forests,Planosols,"Mild temperate, fully humid, and  Warm summer",0,0,1,21.60894359,Oceania,Australia,AUS,13023,19096.44829,5739487,48906356,877134,201151168.6
98,885.1428223,17.44881439,579757304.5,489,"Tropical and Subtropical Grasslands, Savannas and Shrublands",Kastanozems,"Mild temperate, fully humid, and  Hot summer",0,MURRAY,0,25.85407667,Oceania,Australia,AUS,0,13921.67926,4233216,25827832,1443258,523605427.9
99,490.0141754,14.16189957,1821674138,146,Temperate Broadleaf and Mixed Forests,Planosols,"Mild temperate, fully humid, and  Warm summer",0,0,1,34.09919271,Oceania,Australia,AUS,13023,55517.10415,7316889,45526924,3805712,1584296718
100,307.5667877,16.72360039,534763934.3,38,"Mediterranean Forests, Woodlands and Scrub",Calcisols,"Mild temperate with dry summer, and  Hot summer",0,0,1,17.31956038,Oceania,Australia,AUS,0,13590.44468,3666391,27206852,5438997,407941921.5
101,1052.499115,17.81500053,1143946155,66,Temperate Broadleaf and Mixed Forests,Planosols,"Mild temperate, fully humid, and  Hot summer",0,0,1,15.93555057,Oceania,Australia,AUS,13043,31386.35511,3819189,26337156,891557,918467542
102,206.628685,20.77857208,0,347,"Mediterranean Forests, Woodlands and Scrub",Arenosols,"Mild temperate with dry summer, and  Hot summer",0,0,0,13.84063139,Oceania,Australia,AUS,0,3.624320398,9715,26731,12508,0
103,957.5144348,14.96902847,871365289,1030,Temperate Broadleaf and Mixed Forests,Planosols,"Mild temperate, fully humid, and  Hot summer",0,0,0,19.96777166,Oceania,Australia,AUS,0,18531.22795,3773139,23989112,4421237,727426556
104,642.0625306,14.40001297,5050938518,138,Temperate Broadleaf and Mixed Forests,Planosols,"Mild temperate, fully humid, and  Warm summer",0,0,1,75.05343839,Oceania,Australia,AUS,13023,122987.381,18547653,141823528,39896044,4772559594
105,919.5874328,12.83750343,5443304436,682,Temperate Broadleaf and Mixed Forests,Planosols,"Mild temperate, fully humid, and  Warm summer",1,MURRAY,0,66.66188652,Oceania,Australia,AUS,13035,88219.62828,13112266,87519748,5607565,4483936314
106,189.9999962,19.10833359,847173988.7,276,Deserts and Xeric Shrublands,Calcisols,"Mild temperate with dry summer, and  Hot summer",0,MURRAY,0,21.74809322,Oceania,Australia,AUS,0,18306.55766,4317521,26115306,498348,570915026.9
107,704.7286376,15.21072865,495609752,172,"Temperate Grasslands, Savannas and Shrublands",Planosols,"Mild temperate, fully humid, and  Warm summer",0,MURRAY,0,16.7454054,Oceania,Australia,AUS,0,16605.88532,4009414,27034933,5169407,465865003.4
108,1310.225098,27.56040001,1228308212,24,"Tropical and Subtropical Grasslands, Savannas and Shrublands",0,0,0,0,1,16.55663959,Oceania,Australia,AUS,0,26921.01321,4355952,32526808,3041825,1020512927
109,998.9617309,17.64167404,726487653.7,91,Temperate Broadleaf and Mixed Forests,Planosols,"Mild temperate, fully humid, and  Hot summer",0,0,1,18.50389379,Oceania,Australia,AUS,13047,19586.26857,3577107,22645600,383735,571123158.4
110,332.3665924,15.9430666,500644744.5,97,0,Calcisols,"Mild temperate with dry summer, and  Warm summer",0,0,1,22.50559467,Oceania,Australia,0,12970,16198.26351,4255620,25022760,746280,337520750.7
111,355.5125885,18.56040001,322492470.5,197,"Mediterranean Forests, Woodlands and Scrub",Arenosols,"Mild temperate with dry summer, and  Hot summer",0,0,0,16.77937186,Oceania,Australia,AUS,0,6804.080049,2157421,12662794,41467,306988493.3
112,433.5572663,17.46668625,628163552.5,123,Temperate Broadleaf and Mixed Forests,Planosols,"Mild temperate, fully humid, and  Warm summer",0,MURRAY,0,17.30433777,Oceania,Australia,AUS,0,16319.85965,3743553,24691136,4192137,321536204.3
