GUB_ID,share_of_barrier_10km_nb,nonconvexity_10km_nb,share_of_barrier_5km_nb,nonconvexity_5km_nb,share_of_barrier_5km_b,nonconvexity_5km_b,share_of_barrier_10km_b,nonconvexity_10km_b,detour_5km_nb,detour_10km_nb,detour_5km_b,detour_10km_b,nonconvexity_elastic_nb,nonconvexity_elastic_b,share_barrier_elastic_nb,share_barrier_elastic_b
11545,0.016775154,0.010176801,0.00460948,0.005678218,0.00460948,0.005678218,0.016775154,0.010176801,0.639913693,0.521527127,0.639913693,0.521527127,0.008255509,0.008255509,0.008006897,0.008006897
11546,0.017417388,0.015961558,0.011038055,0.00820711,0.011038055,0.00820711,0.017417388,0.015961558,0.629688003,0.558991526,0.629688003,0.558991526,0.008476814,0.008476814,0.010850817,0.010850817
11547,0.00608774,0.004544068,0.003849172,0.003235663,0.003849172,0.003235663,0.00608774,0.004544068,0.669061071,0.464108977,0.669061071,0.464108977,0.002666141,0.002666141,0.004330961,0.004330961
11548,0.029005501,0.018081963,0.003395925,0.003984382,0.003395925,0.003984382,0.029005501,0.018081963,0.763932943,0.597328491,0.763932943,0.597328491,0,0,0.000794376,0.000794376
11549,0.029296484,0.011352628,0.003549739,0.00163339,0.003549739,0.00163339,0.029296484,0.011352628,0.548447947,0.623893986,0.548447947,0.623893986,0.00112122,0.00112122,0.00293761,0.00293761
11550,0.002404214,0.002581423,0.001870992,0.00252628,0.001870992,0.00252628,0.002404214,0.002581423,0.82967086,0.80796596,0.82967086,0.80796596,,,,
11551,0.00930067,0.008120492,0.008579189,0.006727201,0.008579189,0.006727201,0.00930067,0.008120492,0.694654438,0.67129218,0.694654438,0.67129218,0,0,0.000596706,0.000596706
11552,0.005585029,0.006180116,0.005541321,0.004163195,0.005541321,0.004163195,0.005585029,0.006180116,0.630478107,0.590958267,0.630478107,0.590958267,0.001551,0.001551,0.003016288,0.003016288
11553,0.013675638,0.012417954,0.008030094,0.003120767,0.008030094,0.003120767,0.013675638,0.012417954,0.593753763,0.60616628,0.593753763,0.60616628,0.00408056,0.00408056,0.013887398,0.013887398
11554,0.012895761,0.016492706,0.02404247,0.021124734,0.02404247,0.021124734,0.012895761,0.016492706,1.208396524,1.070852285,1.208396524,1.070852285,0.010549877,0.010549877,0.018438341,0.018438341
11555,0.018248631,0.012015297,0.002836506,0.003383951,0.002836506,0.003383951,0.018248631,0.012015297,0.563842533,0.687499037,0.563842533,0.687499037,0.014687588,0.014687588,0.018920195,0.018920195
11556,0.050527025,0.025937695,0.012033783,0.00671812,0.012033783,0.00671812,0.050527025,0.025937695,0.582285213,0.536368267,0.582285213,0.536368267,0.00568381,0.00568381,0.012476253,0.012476253
11557,0.002005231,0.002140787,0.002105033,0.00259837,0.002105033,0.00259837,0.002005231,0.002140787,0.57262244,0.57961204,0.57262244,0.57961204,0,0,0.000179532,0.000179532
11558,0.010319856,0.012846591,0.019626095,0.023289647,0.019626095,0.023289647,0.010319856,0.012846591,0.482294693,0.46602789,0.482294693,0.46602789,0.02763983,0.02763983,0.02384663,0.02384663
11559,0.001533722,0.000926414,0.000684911,0.000436106,0.000684911,0.000436106,0.001533722,0.000926414,0.888411214,0.692880595,0.888411214,0.692880595,0,0,0.000794375,0.000794375
11560,0.003610172,0.002081612,0.002809856,0.00324489,0.002809856,0.00324489,0.003610172,0.002081612,0.569909371,0.527533135,0.569909371,0.527533135,0.003447485,0.003447485,0.003683603,0.003683603
11561,0.001542093,0.00188983,0.003032722,0.00413927,0.003032722,0.00413927,0.001542093,0.00188983,0.545878183,0.58063385,0.545878183,0.58063385,0.002727981,0.002727981,0.010092041,0.010092041
11562,0.009088317,0.00997957,0.013647511,0.016041968,0.013647511,0.016041968,0.009088317,0.00997957,0.621880504,0.631223772,0.621880504,0.631223772,0.015892845,0.015892845,0.013852349,0.013852349
11563,0.007645797,0.006177375,0.007470882,0.00729212,0.007470882,0.00729212,0.007645797,0.006177375,0.566812176,0.505682832,0.566812176,0.505682832,0.007475329,0.007475329,0.008142354,0.008142354
11564,0.014073493,0.013486308,0.015284786,0.013237634,0.015284786,0.013237634,0.014073493,0.013486308,0.439786322,0.409872516,0.439786322,0.409872516,0.012883817,0.012883817,0.015281281,0.015281281
11565,0.013491176,0.017081391,0.019948814,0.025144322,0.019948814,0.025144322,0.013491176,0.017081391,0.624540091,0.788060643,0.624540091,0.788060643,0.038468733,0.038468733,0.037975382,0.037975382
11566,0.015739934,0.009122156,0,0,0,0,0.015739934,0.009122156,0.642390908,0.667572678,0.642390908,0.667572678,0.004642273,0.004642273,0.012713523,0.012713523
11567,0.036965265,0.043482095,0.077154546,0.077889688,0.077154546,0.077889688,0.036965265,0.043482095,0.676024244,0.625513475,0.676024244,0.625513475,0.076710984,0.076710984,0.119382578,0.119382578
11568,0.019650166,0.020721905,0.030461158,0.010390198,0.030461158,0.010390198,0.019650166,0.020721905,0.453942773,0.527788002,0.453942773,0.527788002,0.021417521,0.021417521,0.028270604,0.028270604
11569,0.009301344,0.001700387,0.000269552,0.000279128,0.000269552,0.000279128,0.009301344,0.001700387,0.589268312,0.521570462,0.589268312,0.521570462,0.000949961,0.000949961,0.001570705,0.001570705
11570,0.002329661,0.003120416,0.004978728,0.001544092,0.004978728,0.001544092,0.002329661,0.003120416,0.907310112,0.857106256,0.907310112,0.857106256,0.000359094,0.000359094,0.001443987,0.001443987
