areaID,City Name,Country,Region,CBD Latitude,CBD Longitude,Population,BU_area(ha),Urban Built-up Area (ha),Urbanized Open Space  (ha),Urban Extent (ha),Built-up Area Density (persons/ha),Urban Extent Density (persons / ha),Frgmentation: Saturation  (Built-up Area/Urban Extent), Fragmentation: Openness index,Compactness: Proximity index,Compactness: Cohesion index,Share of Built-up Area Occupied by Roads(90-15),the 4-Way Intersection Density (number per km2_90_15 ),Share of Built-up Area That Is Gridded(90_15)
60,Paris,France,Europe and Japan,48.863,2.315,11114026,198626,166725,79222,277848,56,40,0.71,0.23,0.85,0.83,0.15,9.9,0
61,Le_Mans,France,Europe and Japan,47.989,0.199,179135,5974,4788,2571,8545,30,21,0.7,0.25,0.83,0.82,0.21,13.9,0
62,Berlin,Germany,Europe and Japan,52.502,13.453,3860243,68743,53160,40283,109026,56,35,0.63,0.34,0.81,0.78,0.18,14.4,0
63,Oldenburg,Germany,Europe and Japan,53.148,8.207,158329,3781,2546,3120,6900,42,23,0.55,0.43,0.9,0.89,0.18,9.9,0
64,Halle,Germany,Europe and Japan,51.487,11.97,235706,6721,5131,3073,9793,35,24,0.69,0.29,0.88,0.86,0.15,11,0
65,Accra,Ghana,Sub-Saharan Africa,5.615,-0.159,4429649,61781,52848,25431,87212,72,51,0.71,0.22,0.72,0.71,0.14,8.9,0.1
66,Thessaloniki,Greece,Europe and Japan,40.65,22.916,859431,10568,8009,5879,16447,81,52,0.64,0.3,0.66,0.66,0.21,9.5,0
67,Guatemala_City,Guatemala,Latin America and the Caribbean,14.605,-90.542,2654085,26506,22402,11059,37566,100,71,0.71,0.23,0.87,0.85,0.2,21.1,0.03
68,Budapest,Hungary,Europe and Japan,47.484,19.09,2272785,52029,42061,23686,75715,44,30,0.69,0.27,0.79,0.76,0.16,14.3,0.15
69,Hindupur,India,South and Central Asia,13.838,77.488,106830,445,190,404,849,240,126,0.52,0.51,0.85,0.84,0.2,56,0
70,Vijayawada,India,South and Central Asia,16.515,80.641,1210498,4664,3662,1935,6599,260,183,0.71,0.29,0.76,0.74,0.18,17.2,0
71,Ahmadabad,India,South and Central Asia,23.037,72.589,6232952,21103,18932,6306,27409,295,227,0.77,0.19,0.94,0.93,0.24,27.9,0
72,Belgaum,India,South and Central Asia,15.85,74.506,636865,2779,1563,2278,5057,229,126,0.55,0.45,0.73,0.72,0.23,21.9,0.03
73,Kozhikode,India,South and Central Asia,11.254,75.803,1171852,11232,5078,12409,23642,104,50,0.48,0.49,0.64,0.64,0.08,10,0
74,Singrauli,India,South and Central Asia,82.671,24.2,136936,1739,968,1617,3356,79,41,0.52,0.47,0.76,0.76,0.19,12,0
75,Jalna,India,South and Central Asia,19.851,75.878,278314,1509,1144,869,2377,184,117,0.63,0.35,0.82,0.81,0.18,28.2,0
76,Mumbai,India,South and Central Asia,19.115,72.913,19601845,53135,45590,17398,70533,369,278,0.75,0.21,0.66,0.66,0.2,13,0.03
77,Malegaon,India,South and Central Asia,20.562,74.52,461737,1432,995,1094,2526,322,183,0.57,0.41,0.91,0.91,0.27,54.9,0
78,Parbhani,India,South and Central Asia,19.28,76.765,382635,1868,1550,785,2653,205,144,0.7,0.27,0.88,0.88,0.27,104.4,0
79,Pune,India,South and Central Asia,18.524,73.864,5509160,32338,27021,13606,45944,170,120,0.7,0.26,0.85,0.85,0.21,4.5,0
80,Jaipur,India,South and Central Asia,26.911,75.787,2938602,19218,14570,11172,30390,153,97,0.63,0.29,0.87,0.86,0.27,17.2,0
81,Coimbatore,India,South and Central Asia,11.015,76.973,1650080,12191,7734,10243,22434,135,74,0.54,0.4,0.77,0.75,0.24,19.1,0
82,Hyderabad,India,South and Central Asia,17.422,78.484,7609285,46168,36294,26829,72998,165,104,0.63,0.29,0.91,0.89,0.21,43.3,0
83,Kanpur,India,South and Central Asia,26.457,80.31,2795714,14405,11826,6263,20667,194,135,0.7,0.25,0.82,0.8,0.23,33.5,0.03
84,Sitapur,India,South and Central Asia,27.568,80.692,139273,1271,823,907,2178,110,64,0.58,0.41,0.82,0.81,0.25,6.8,0
85,Kolkata,India,South and Central Asia,22.533,88.356,15123555,60278,44343,36590,96868,251,156,0.62,0.32,0.7,0.7,0.1,5.7,0.03
86,Cirebon,Indonesia,Southeast Asia,-6.702,108.497,1044889,6404,3719,4471,10875,163,96,0.59,0.42,0.7,0.68,0.14,11.4,0
